noun,score_by_females,sd_by_females,score_by_males,sd_by_males,is_occupation,frequency
flute player,2.05,1.0,2.45,1.15,True,-7.357191769369797
football coach,6.75,0.44,6.95,0.22,True,-6.58794625067317
football player,6.65,0.49,6.7,0.47,True,-6.294053855174477
foreman,5.65,0.99,5.6,1.1,True,-5.727526658966733
forensic psychologist,4.1,1.33,4.9,1.29,True,-7.37496575963721
forest ranger,5.55,0.94,5.7,0.92,True,-7.341973039342187
forestry engineer,2.05,0.83,2.15,1.09,True,-8.788465233861086
fortune teller,2.4,1.05,2.25,0.97,True,-7.043434869537048
funeral director,5.55,1.1,5.55,1.43,True,-6.715379228401918
game warden,6.05,0.76,6.2,0.89,True,-7.073500397904145
garbage collector,6.2,0.89,6.2,0.89,True,-6.906529392482332
general,6.15,1.14,6.5,0.83,True,-3.6495038109072353
geologist,5.35,0.99,4.75,0.72,True,-6.096011195844269
golfer,5.7,0.92,4.6,1.35,True,-6.16081439470079
government official,5.25,0.97,5.3,0.98,True,-6.25741603442346
governor,5.35,0.99,5.7,1.13,True,-4.805802343300786
graphic designer,4.2,0.52,4.35,0.49,True,-6.696169474474135
groom,6.9,0.31,6.7,1.34,False,-5.502954765795428
groundskeeper,5.1,1.21,5.85,0.93,True,-7.049770679942895
guard,6.0,0.92,6.15,0.93,True,-4.573651983397928
guidance counselor,3.15,0.99,3.3,0.8,True,-6.689448919677568
guitar player,5.4,1.23,5.4,1.1,True,-6.802342055061991
gunman,6.3,0.73,6.4,0.6,False,-6.118302077257615
guy,6.85,0.37,6.55,0.89,False,-4.410994714076213
gymnast,2.35,1.09,2.65,1.09,True,-6.598175779174935
gynecologist,3.95,0.94,4.65,1.5,True,-6.5237477974783324
hair cutter,2.75,1.12,2.85,1.42,True,-8.893361186746224
hairdresser,2.1,0.97,1.65,0.81,True,-6.199481205532793
heavy equipment operator,6.5,0.76,6.6,0.68,True,-7.992751237507653
high school principal,5.15,1.14,5.15,1.31,True,-7.048987103936572
high school teacher,3.2,1.01,3.0,0.97,True,-6.715771908070782
highway worker,5.9,0.79,5.6,1.05,True,-8.5025072779401
historian,4.3,1.69,4.45,1.1,True,-4.964085700281078
history professor,5.4,1.14,5.6,0.99,True,-6.983103185265734
hitchhiker,5.7,1.13,5.55,1.19,False,-6.898537745667239
homeless person,4.75,1.02,5.25,1.29,False,-6.849641353105941
homicide detective,5.45,1.05,5.9,0.79,True,-7.001379088833726
horse trainer,3.85,1.35,4.0,1.52,True,-7.34357242977123
hospital orderly,4.25,1.21,4.5,1.54,True,-7.811651482732637
hotel guest,3.95,0.6,4.2,0.41,False,-7.401339746975375
housekeeper,1.95,1.1,2.2,0.89,True,-5.578562971964637
hula dancer,1.45,0.69,1.7,0.86,True,-8.04882532377607
humanitarian,3.7,0.92,3.65,0.75,True,-5.133333476496761
humanities professor,4.4,1.31,4.2,1.44,True,-8.385996242767419
hunter,6.35,0.67,6.05,1.0,True,-5.247759898591988
income tax preparer,5.0,0.97,4.4,1.19,True,-8.66540813693239
informant,4.25,0.97,4.75,1.12,True,-5.578805491829396
inmate,5.75,0.79,5.55,1.36,False,-5.47046790607964
innkeeper,4.0,1.49,4.5,1.4,True,-6.109233685272101
insurance agent,4.4,0.82,4.5,1.0,True,-6.513928550275296
interior decorator,2.3,1.03,2.1,0.72,True,-7.093541264177724
inventor,4.85,0.88,5.1,1.12,True,-5.53572116320527
jailor,5.8,1.01,5.95,0.83,True,-7.036812788681396
janitor,5.45,1.15,5.8,1.24,True,-6.158086767597722
journalist,4.15,1.27,3.9,1.21,True,-5.132121758135201
judge,4.75,1.02,4.65,1.35,True,-4.34157853990822
juggler,5.2,1.28,5.3,0.86,True,-6.710941102862334
jurist,4.2,0.83,4.15,0.99,True,-6.138098887335934
